nombre,muni_id,cod_dane,id_sede,jornada
SANTO DOMINGO ALTO,,263130000241,539302,C
SAN RAFAEL,,263130000241,539303,T
SAN RAFAEL,,263130000241,539305,C
PLANADAS,,263130000241,539306,T
PLANADAS,,263130000241,539308,C
LA DIVISA,,263130000241,539309,T
LA DIVISA,,263130000241,539311,C
TERESA GARCIA,,263130000241,539312,T
TERESA GARCIA,,263130000241,539314,C
VISTA HERMOSA,,263130000241,539315,T
VISTA HERMOSA,,263130000241,539317,C
EL DANUBIO,,263130000241,539318,T
EL DANUBIO,,263130000241,539320,C
GUAYAQUIL ALTO,,263130000241,539321,T
GUAYAQUIL ALTO,,263130000241,539323,C
QUEBRADA NEGRA,,263130000241,539324,T
QUEBRADA NEGRA,,263130000241,539326,C
EL PENSIL,,263130000241,539327,T
EL PENSIL,,263130000241,539329,C
SEDE # 9 DESCOLGADERO,,252835001058,539427,T
SEDE # 9 DESCOLGADERO,,252835001058,539429,C
SEDE # 12 CARLOSAMA,,252835001058,539430,T
SEDE # 12 CARLOSAMA,,252835001058,539432,C
SEDE # 6 INDIGENA AWA LA AL,,452835006601,539462,C
SEDE # 4 GUACHAL LA VEGA,,252835000345,539500,T
SEDE # 4 GUACHAL LA VEGA,,252835000345,539502,C
SEDE # 5 GUACHAL BARRANCO,,252835000345,539503,T
SEDE # 5 GUACHAL BARRANCO,,252835000345,539505,C
SEDE # 4 GUACHAL DE LAS BRI,,252835000345,539506,T
SEDE # 4 GUACHAL DE LAS BRI,,252835000345,539508,C
SEDE # 3 VIGUARAL,,252835000345,539509,T
SEDE # 3 VIGUARAL,,252835000345,539511,C
SEDE # 1 SAN JOSE DEL GUAYA,,252835005398,539513,C
SEDE # 3 SANTA ROSA,,252835005398,539514,T
SEDE # 3 SANTA ROSA,,252835005398,539516,C
SEDE # 2 RETORNO,,252835005398,539518,C
SEDE # 5 LA FLORESTA,,252835005398,539519,T
SEDE # 5 LA FLORESTA,,252835005398,539521,C
SEDE # 4 BELLAVISTA RIO MEJ,,252835005398,539523,C
SEDE # 4 COLOMBIA GRANDE,,252835000043,539541,T
SEDE # 4 COLOMBIA GRANDE,,252835000043,539543,C
SEDE # 2 INDIGENA AWA LA  P,,452835006580,539545,C
SEDE # 2 INDIGENA AWA SANTA,,252835006408,539556,T
SEDE # 2 INDIGENA AWA SANTA,,252835006408,539558,C
SEDE # 3 INDIGENA AWA FELIC,,252835006408,539561,T
SEDE # 3 INDIGENA AWA FELIC,,252835006408,539563,C
E.R.M. INDIG QUEJUAMBI - SE,,252835006408,539565,C
SEDE # 5 INDIGENA AWA PEÑA,,452835006601,539567,C
SEDE # 3 INDIGENA AWA UNIPA,,452835006580,539568,T
SEDE # 3 INDIGENA AWA UNIPA,,452835006580,539570,C
CENTRO EDUCATIVO RIO CAFRE,,250330000437,539639,T
CENTRO EDUCATIVO RIO CAFRE,,250330000437,539641,C
ATANASIO GIRARDOT,,250330000437,539642,T
ATANASIO GIRARDOT,,250330000437,539644,C
LA BETANIA,,250330000437,539645,T
LA BETANIA,,250330000437,539647,C
BUENAVISTA,,250330000437,539648,T
BUENAVISTA,,250330000437,539650,C
EL JAZMIN,,250330000437,539651,T
EL JAZMIN,,250330000437,539653,C
ALTO CAFRE,,250330000437,539654,T
ALTO CAFRE,,250330000437,539656,C
LA GUAJIRA,,250330000437,539657,T
LA GUAJIRA,,250330000437,539659,C
LAS BRISAS,,250330000437,539660,T
LAS BRISAS,,250330000437,539662,C
LAS BRUMAS,,250330000437,539663,T
LAS BRUMAS,,250330000437,539665,C
ONDAS DEL CAFRE,,250330000437,539666,T
ONDAS DEL CAFRE,,250330000437,539668,C
