nombre,muni_id,cod_dane,id_sede,jornada
COL LA DIVINA ENSEÑANZA,76001,376001028413,190643,M
COL MIXTO CANAAN,76001,376001036246,190679,T
,76403,376403000370,190766,
,76834,376834003198,190796,
ESCUELA CARRUCEL DE SUEÑOS,76109,376109010863,190830,M
,52573,252573000195,190989,
,76111,376111034018,191043,
COL CIUDADELA EDUC LA PRESE,76001,476001038251,191054,C
INST EDUC REINO DE BELGICA,5001,105001012581,228362,M
INST EDUC BARRIO SANTA CRUZ,5001,105001000043,228369,T
INSTITUCION EDUCATIVA MARIA,5360,105360001063,228378,T
E U EDUARDO CORREA,5790,105790000206,228392,M
E U MARCO TULIO DUQUE,5148,105148000243,228406,T
I.E. TÉCNICA JUAN V PADILLA,8372,108372000011,228454,T
COLEGIO FERNANDO SOTO APARI,11001,111001024660,228474,T
CENT EDUC DIST SAN BERNARDO,11001,111001029955,228479,T
CENT EDUC DIST PORFIRIO BAR,11001,111102000958,228534,T
CENT EDUC DIST LUIS ANGEL A,11001,111279000184,228541,T
CENT EDUC NAL PILOTO BAVARI,11001,111848002689,228549,M
SEDE DISTRITAL LUIS CARLOS,13001,113001002120,228557,M
CENT EDUC RISTA,15476,115476000124,228568,M
ESC RURAL HUMBERTO AVILA MO,15798,115798000014,228594,C
ESC RURAL DE BARZAL,15798,115798000014,228595,C
ESC RURAL DE CHAGUATOQUE,15798,115798000014,228596,C
INSTITUCION EDUCATIVA FOCO,13001,113001029095,228613,T
LUIS ROQUE BORRE,13657,113657000590,228638,M
NUEVO SAN JUAN,13657,113657000590,228639,M
ESC RURAL LA PUERTA,15097,115097000036,228654,C
I.E. TECNICA Y ACADEMICA NU,15097,115097000036,228655,C
SEDE GABRIELA MISTRAL,15238,115238000698,228670,M
VERDE AMAZONICO,18753,118753002341,228693,T
INSTITUCION EDUCATIVA PABLO,17001,117001006244,228726,M
ESCUELA SANTA TERESITA,17013,117013000292,228728,C
ESCUELA RURAL EL CHISGO,25299,125299000289,228742,M
ESCUELA RURAL SAN VICENTE F,25299,125299000289,228743,M
ESCUELA RURAL LA PALMA,25299,125299000289,228744,M
ESCUELA VEINTE DE JULIO,20228,120228000472,228794,M
ESCUELA LA CRUZ,20228,120228000472,228795,M
ESC RUR PALMARITO,23079,123079000111,228816,M
IE SGDO CORAZON DE JESÙS,23079,123079000111,228817,M
LA INMACULADA,23686,123686000022,228837,M
ESCUELA SANTA MARIA,25120,125120000010,228844,M
ESC. RURAL PAQUILO,25120,125120000010,228845,M
ESC RURAL STA RITA BAJA,25120,125120000010,228846,M
ESCOL RUR MIX CALETA,27006,127006000037,228887,M
ESCOL LOS LIBERTADORES,27006,127006000037,228889,C
CENT DOC ORIENTE,41001,141001001321,228906,T
BARRIOS UNIDOS,41298,141298000426,228919,T
SOLARTE,41551,141551000781,228929,T
EL MACO,41551,141551000781,228930,C
LAVIRGINIA,41551,141551000781,228931,M
JOSE  ANTONIO  GALAN,41791,141791000214,228936,T
ESTEBAN ROJAS TOVAR,41791,141791000214,228937,C
ESCUELA LA MILAGROSA,52411,152411000081,228990,M
ERM LA CANDELARIA,47245,147245000252,229009,M
ESC EL  CARMEN,50006,150006001051,229032,M
,50287,150287000555,229033,
INST EDUC COLEGIO GENERAL S,50313,150313000089,229035,M
IE MANUELA BELTRAN,50689,150689000365,229047,M
ESCUELA RAUL DE OLIVEIRA,50689,150689000365,229048,M
INST TECNICO NTRA SRA DE BE,54660,154660000698,229068,C
SANTA TERESITA,63401,163401000140,229083,T
VILLA MADY,70001,170001001658,229143,M
INSTITUCION EDUCATIVA AGUST,66170,166170002500,229152,M
SEDE MARIA AUXILIADORA,70713,170713000453,229203,T
SEDE EL PROGRESO,70820,170820000121,229209,M
SEDE 5  LA PAZ,73001,173001004303,229220,T
I.E.T. JIMENEZ DE QUESADA -,73055,173055000095,229232,M
LA SAMARIA,73870,173870000512,229261,M
BETULIA,73870,173870000512,229262,M
SIMON BOLIVAR,81794,181794000748,229295,M
BELLAVISTA,18001,183001002381,229298,M
ACEVEDO Y GOMEZ,18592,183592000072,229299,T
SEDE ANTONIO NARIÑO,76001,176001028970,229325,M
SEDE FRANCISCO JOSE RUIZ,76001,176001028970,229326,M
ANTONIA SANTOS,76318,176318000264,229371,M
COMUNEROS,76563,176563000822,229386,M
EUSTAQUIO PALACIOS,76622,176622000068,229387,M
PBRO GONZALO PATIÑO,76622,176622000076,229390,M
FRAY JOSE JOAQUIN ESCOBAR,76823,176823000066,229393,M
C. E. R.  DR FELIX GARCIA R,5002,105002000047,229412,C
C. E. R.  RAFAEL NARANJO VI,5002,205002000611,229414,C
C. E. R.  TOCAIMA,5021,105021000139,229415,C
C. E. R. SAN JOSE,5021,105021000139,229416,C
C. E. R. REMOLINO,5021,105021000139,229417,C
I. E. R.  LA CLARA,5031,205031000191,229419,C
,5034,205034000159,229422,
C. E. R. NUEVA ESTRELLA,5051,205051002700,229437,M
I. E. R. SAN JUANCITO - SED,5659,205051000189,229439,M
C. E. R. LA BARRANCUDA,5051,105051000508,229443,C
C. E. R.  MONTESORI,5051,205051002467,229444,C
C. E. R. INDIGENISTA NUEVO,5051,205051002238,229446,C
C. E. R. EL CHOCHO,5038,205038000161,229447,C
C. E. R. SANTA TERESA,5038,205038000161,229448,C
C. E. R. NURQUI,5042,205042000281,229453,C
C. E. R. SACRAMENTO OSORIO,5042,105042000732,229454,C
C. E. R. SAN CARLOS,5042,205042000281,229455,C
LA ESMERALDA (SEDE PRINCIPA,19110,219110001128,229462,M
LA POZETA,19256,219256000743,229470,M
COLEGIO NTRA. SRA DEL ROSAR,23672,223672000181,229494,M
SEDE SAN BENITO,20011,220011000053,229516,M
ESCUELA VILLA LUNA,20060,220060003271,229574,M
C. E. R. LA CABAÑA,5893,205893000551,229623,C
C. E. R. LUIS LOPEZ DE MESA,5893,205893000551,229624,C
INSTITUCION EDUCATIVA AGROI,15238,215238000412,229629,M
COL DE EDUCACION BAS PEREIR,15469,215469000091,229642,C
C. E. R. LA ORQUIDEA,5893,205893000560,229714,C
BOLLO SECO,23417,223417000461,229828,M
ANTONIO GALAN,23417,223417000461,229829,M
EL CARITO,23417,223417002111,229832,T
ESCUELA RURAL MIXTA EL RAMO,19517,219517000118,229865,C
CONC EDUC SAGRADO CORAZON D,13030,413074000358,229888,T
ESCUELA NUEVA BAJO BLANCO,23500,223500000464,229932,M
ESCUELA RURAL MURILLO,17777,217777000151,229960,C
C. E. R. LUIS ZEA URIBE,5809,205809000070,229992,C
CENTRO DOCENTE RURAL MIXTO,19743,219743000171,230037,C
CENTRO DOCENTE RURAL MIXTO,19743,219743000171,230038,C
E.R. LA TACHUELA,5837,205837005133,230064,M
C. E. R. PIEDRAS BLANCAS,5847,205847000440,230125,C
EL CARRIZAL,19130,219130000586,230145,M
SAN ANTONIO,19300,219142000131,230149,M
C. E. R. LOS RANCHOS,5134,105134000046,230152,C
,5495,205495000878,230158,
C. E. R. LA AMAPOLA,5607,205607000035,230161,C
